Countries and areas,Latitude,Longitude,OOSR_Preprimary_Age_Male,OOSR_Preprimary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,High_OOSR_Preprimary,High_OOSR_Primary,High_OOSR_Lower_Secondary,High_OOSR_Upper_Secondary,Region
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,false,false,false,false,Africa
Liechtenstein,47.1410392,9.520935,1,2,3,2,1,7,10,22,false,false,false,false,Europe
Lithuania,55.169438,23.881275,3,3,0,0,0,0,4,2,false,false,false,false,Europe
Luxembourg,49.815273,6.129583,1,1,1,1,4,5,22,17,false,false,false,false,Europe
Madagascar,18.766947,46.869107,43,38,0,0,31,29,63,64,true,false,false,true,Africa
Malawi,13.254308,34.301525,0,0,0,0,19,18,62,76,false,false,false,true,Africa
Malaysia,4.210484,101.975766,1,1,0,0,15,12,41,32,false,false,false,false,Asia
Maldives,3.202778,73.22068,8,5,3,1,0,0,0,0,false,false,false,false,Asia
Mali,17.570692,3.996166,53,57,38,44,49,56,71,79,true,true,true,true,Africa
Malta,35.937496,14.375416,0,5,0,0,2,1,10,7,false,false,false,false,Europe
Marshall Islands,7.131474,171.184478,32,31,25,27,33,29,45,41,false,false,false,true,Oceania
Mauritania,21.00789,10.940835,0,0,25,21,31,25,63,59,false,false,false,true,Africa
Mauritius,20.348404,57.552152,9,8,3,1,6,4,25,17,false,false,false,false,Africa
Mexico,23.634501,102.552784,2,0,0,0,9,7,28,24,false,false,false,false,Americas
Federated States of Micronesia,7.425554,150.550812,30,34,9,11,15,10,0,0,false,false,false,false,Oceania
Monaco,43.7384176,7.4246158,0,0,0,0,0,0,0,0,false,false,false,false,Europe
Mongolia,46.862496,103.846656,3,5,2,3,8,7,22,20,false,false,false,false,Asia
Montenegro,42.708678,19.37439,23,24,3,3,8,7,12,10,false,false,false,false,Europe
Montserrat,16.742498,62.187366,19,14,15,15,0,0,0,0,false,false,false,false,Americas
Morocco,31.791702,7.09262,31,39,2,3,8,11,26,30,false,false,false,false,Africa
Mozambique,18.665695,35.529562,0,0,1,4,39,47,65,73,false,false,true,true,Africa
Myanmar,21.916221,95.955974,88,88,0,0,22,20,47,38,true,false,false,true,Asia
Namibia,22.95764,18.49041,33,30,0,0,0,0,0,0,false,false,false,false,Africa
Nauru,0.522778,166.931503,11,3,0,0,13,4,52,60,false,false,false,true,Oceania
Nepal,28.394857,84.124008,9,17,0,0,4,1,26,13,false,false,false,false,Asia
Netherlands,52.132633,5.291266,1,0,1,1,3,2,1,1,false,false,false,false,Europe
New Zealand,40.900557,174.885971,6,7,1,1,1,1,4,1,false,false,false,false,Oceania
Nicaragua,12.865416,85.207229,0,0,0,0,0,0,0,0,false,false,false,false,Americas
Niger,17.607789,8.081666,76,76,37,45,61,69,84,89,true,true,true,true,Africa
Nigeria,9.081999,8.675277,0,0,0,0,0,0,0,0,false,false,false,false,Africa
Niue,19.054445,169.867233,13,38,0,0,0,0,0,0,false,false,false,false,Oceania
North Macedonia,41.608635,21.745275,51,51,1,1,0,0,0,0,true,false,false,false,Europe
Norway,60.472024,8.468946,3,3,0,0,0,1,8,7,false,false,false,false,Europe
Oman,21.4735329,55.975413,16,13,0,0,0,0,8,17,false,false,false,false,Asia
Pakistan,30.375321,69.345116,0,14,0,0,0,0,0,0,false,false,false,false,Asia
Palau,7.51498,134.58252,0,19,0,0,0,0,0,0,false,false,false,false,Oceania
Panama,8.537981,80.782127,25,23,13,14,13,12,35,31,false,false,false,false,Americas
Papua New Guinea,6.314993,143.95555,28,29,4,10,10,19,40,51,false,false,false,true,Oceania
Paraguay,23.442503,58.443832,31,30,0,0,0,0,33,30,false,false,false,false,Americas
Peru,9.189967,75.015152,1,1,0,0,3,3,15,21,false,false,false,false,Americas
Philippines,12.879721,121.774017,14,13,3,3,14,7,24,17,false,false,false,false,Asia
Poland,51.919438,19.145136,4,5,2,2,1,3,4,4,false,false,false,false,Europe
Portugal,39.399872,8.224454,5,6,0,1,0,0,2,4,false,false,false,false,Europe
Qatar,25.354826,51.183884,10,7,3,0,1,9,0,0,false,false,false,false,Asia
South Korea,35.907757,127.766922,1,1,1,1,3,3,4,4,false,false,false,false,Asia
Moldova,47.411631,28.369885,5,5,9,11,15,16,36,35,false,false,false,false,Europe
Romania,45.943161,24.96676,18,18,12,13,9,9,21,19,false,false,false,false,Europe
Russia,61.52401,105.318756,9,10,1,0,2,1,3,3,false,false,false,false,Europe
Rwanda,1.940278,29.873888,48,47,6,6,6,2,50,49,true,false,false,true,Africa
Saint Kitts and Nevis,17.357822,62.782998,0,21,0,0,0,0,4,5,false,false,false,false,Americas
Saint Lucia,13.909444,60.978893,5,0,3,0,9,10,20,21,false,false,false,false,Americas
Saint Vincent and the Grenadines,12.984305,61.287228,9,3,0,0,1,2,16,14,false,false,false,false,Americas
Samoa,13.759029,172.104629,65,65,0,0,0,0,15,5,true,false,false,false,Oceania
San Marino,43.94236,12.457777,12,14,0,0,0,0,51,57,false,false,false,true,Europe
Saudi Arabia,23.885942,45.079162,51,48,1,3,0,3,3,9,true,false,false,false,Asia
Senegal,14.497401,14.452362,85,83,30,21,0,0,0,0,true,false,false,false,Africa
Serbia,44.016521,21.005859,9,10,2,2,2,2,14,11,false,false,false,false,Europe
Seychelles,4.679574,55.491977,9,6,0,0,0,0,24,12,false,false,false,false,Africa
Sierra Leone,8.460555,11.779889,58,57,2,2,49,49,64,67,true,false,true,true,Africa
Singapore,1.352083,103.819836,0,0,0,0,0,1,0,0,false,false,false,false,Asia
Slovakia,48.669026,19.699024,15,17,5,4,5,5,11,11,false,false,false,false,Europe
Slovenia,46.151241,14.995463,5,6,1,0,2,1,2,1,false,false,false,false,Europe
Solomon Islands,9.64571,160.156194,36,33,9,4,0,0,0,0,false,false,false,false,Oceania
Somalia,5.152149,46.199616,0,0,0,0,0,0,0,0,false,false,false,false,Africa
South Africa,30.559482,22.937506,28,27,12,10,16,13,22,20,false,false,false,false,Africa
South Sudan,6.8769919,31.3069788,78,81,58,67,49,63,57,72,true,true,true,true,Africa
Spain,40.463667,3.74922,5,5,3,3,1,1,2,1,false,false,false,false,Europe
Sri Lanka,7.873054,80.771797,0,0,2,3,0,0,18,13,false,false,false,false,Asia
Palestinian National Authority,31.952162,35.233154,35,34,3,3,4,1,32,18,false,false,false,false,Asia
Sudan,12.862807,30.217636,60,60,31,35,33,35,53,50,true,false,false,true,Africa
Suriname,3.919305,56.027783,12,10,14,11,19,11,42,34,false,false,false,false,Americas
Sweden,60.128161,18.643501,0,0,0,0,0,0,1,3,false,false,false,false,Europe
Switzerland,46.818188,8.227512,1,0,0,0,1,1,16,20,false,false,false,false,Europe
Syria,34.802075,38.996815,60,61,27,28,37,39,66,66,true,false,false,true,Asia
Tajikistan,38.861034,71.276093,87,88,1,2,0,0,0,0,true,false,false,false,Asia
Thailand,15.870032,100.992541,1,1,0,0,0,0,21,21,false,false,false,false,Asia
East Timor,8.874217,125.727539,51,48,7,3,12,9,27,22,true,false,false,false,Asia
Togo,8.619543,0.824782,1,7,2,4,15,28,47,66,false,false,false,true,Africa
Tokelau,9.2002,171.8484,20,0,0,0,0,0,53,30,false,false,false,true,Oceania
Tonga,21.178986,175.198242,0,0,0,0,6,4,43,33,false,false,false,false,Oceania
Trinidad and Tobago,10.691803,61.222503,0,0,0,0,0,0,0,0,false,false,false,false,Americas
Tunisia,33.886917,9.537499,0,0,0,0,0,0,0,0,false,false,false,false,Africa
Turkey,38.963745,35.243322,23,25,5,5,6,7,17,17,false,false,false,false,Asia
Turkmenistan,38.969719,59.556278,0,0,0,0,0,0,0,0,false,false,false,false,Asia
Turks and Caicos Islands,21.694025,71.797928,19,0,0,0,22,17,29,35,false,false,false,false,Americas
Tuvalu,7.109535,177.64933,13,9,13,17,27,32,61,39,false,false,false,true,Oceania
Uganda,1.373333,32.290275,0,0,6,3,0,0,0,0,false,false,false,false,Africa
Ukraine,48.379433,31.16558,0,0,9,7,4,3,7,4,false,false,false,false,Europe
United Arab Emirates,23.424076,53.847818,0,0,8,5,2,3,2,2,false,false,false,false,Asia
United Kingdom,55.378051,3.435973,3,0,1,1,2,2,5,4,false,false,false,false,Europe
Tanzania,6.369028,34.888822,45,42,15,12,0,0,84,88,true,false,false,true,Africa
United States,37.09024,95.712891,12,8,1,1,3,1,4,3,false,false,false,false,Americas
Uruguay,32.522779,55.765835,2,1,3,3,1,0,15,9,false,false,false,false,Americas
Uzbekistan,41.377491,64.585262,53,55,0,2,0,2,14,15,true,false,false,false,Asia
Vanuatu,15.376706,166.959158,38,38,8,7,2,4,41,46,false,false,false,true,Oceania
Venezuela,6.42375,66.58973,14,14,10,10,15,13,28,19,false,false,false,false,Americas
Vietnam,14.058324,108.277199,0,0,0,0,0,0,0,0,false,false,false,false,Asia
Yemen,15.552727,48.516388,96,96,10,21,23,34,46,68,true,false,false,true,Asia
Zambia,13.133897,27.849332,0,0,17,13,0,0,0,0,false,false,false,false,Africa
Zimbabwe,19.015438,29.154857,60,58,0,0,0,0,45,50,true,false,false,true,Africa
