Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Afghanistan,69,Upper_Secondary,Female,1,Asia
Albania,15,Upper_Secondary,Female,0,Europe
Algeria,0,Upper_Secondary,Female,0,Africa
Andorra,0,Upper_Secondary,Female,0,Europe
Angola,0,Upper_Secondary,Female,0,Africa
Anguilla,0,Upper_Secondary,Female,0,Americas
Antigua and Barbuda,12,Upper_Secondary,Female,0,Americas
Argentina,7,Upper_Secondary,Female,0,Americas
Armenia,4,Upper_Secondary,Female,0,Asia
Australia,6,Upper_Secondary,Female,0,Oceania
Austria,9,Upper_Secondary,Female,0,Europe
Azerbaijan,0,Upper_Secondary,Female,0,Asia
The Bahamas,24,Upper_Secondary,Female,0,Americas
Bahrain,6,Upper_Secondary,Female,0,Asia
Bangladesh,36,Upper_Secondary,Female,0,Asia
Barbados,3,Upper_Secondary,Female,0,Americas
Belarus,4,Upper_Secondary,Female,0,Europe
Belgium,2,Upper_Secondary,Female,0,Europe
Belize,35,Upper_Secondary,Female,0,Americas
Benin,66,Upper_Secondary,Female,1,Africa
Bhutan,22,Upper_Secondary,Female,0,Asia
Bolivia,22,Upper_Secondary,Female,0,Americas
Bosnia and Herzegovina,19,Upper_Secondary,Female,0,Europe
Botswana,0,Upper_Secondary,Female,0,Africa
Brazil,14,Upper_Secondary,Female,0,Americas
British Virgin Islands,16,Upper_Secondary,Female,0,Americas
Brunei,16,Upper_Secondary,Female,0,Asia
Bulgaria,14,Upper_Secondary,Female,0,Europe
Burkina Faso,65,Upper_Secondary,Female,1,Africa
Burundi,62,Upper_Secondary,Female,1,Africa
Cape Verde,24,Upper_Secondary,Female,0,Africa
Cambodia,0,Upper_Secondary,Female,0,Asia
Cameroon,58,Upper_Secondary,Female,1,Africa
Canada,6,Upper_Secondary,Female,0,Americas
Central African Republic,0,Upper_Secondary,Female,0,Africa
Chad,85,Upper_Secondary,Female,1,Africa
Chile,5,Upper_Secondary,Female,0,Americas
China,0,Upper_Secondary,Female,0,Asia
Colombia,20,Upper_Secondary,Female,0,Americas
Comoros,48,Upper_Secondary,Female,0,Africa
Republic of the Congo,0,Upper_Secondary,Female,0,Africa
Cook Islands,27,Upper_Secondary,Female,0,Oceania
Costa Rica,5,Upper_Secondary,Female,0,Americas
Ivory Coast,64,Upper_Secondary,Female,1,Africa
Croatia,11,Upper_Secondary,Female,0,Europe
Cuba,15,Upper_Secondary,Female,0,Americas
Cyprus,8,Upper_Secondary,Female,0,Asia
Czech Republic,3,Upper_Secondary,Female,0,Europe
North Korea,0,Upper_Secondary,Female,0,Asia
Democratic Republic of the Congo,0,Upper_Secondary,Female,0,Africa
Denmark,9,Upper_Secondary,Female,0,Europe
Djibouti,67,Upper_Secondary,Female,1,Africa
Dominica,17,Upper_Secondary,Female,0,Americas
Dominican Republic,21,Upper_Secondary,Female,0,Americas
Ecuador,18,Upper_Secondary,Female,0,Americas
Egypt,24,Upper_Secondary,Female,0,Africa
El Salvador,35,Upper_Secondary,Female,0,Americas
Equatorial Guinea,0,Upper_Secondary,Female,0,Africa
Eritrea,53,Upper_Secondary,Female,1,Africa
Estonia,2,Upper_Secondary,Female,0,Europe
