Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Eswatini,18,Upper_Secondary,Female,0,Africa
Ethiopia,75,Upper_Secondary,Female,1,Africa
Fiji,0,Upper_Secondary,Female,0,Oceania
Finland,5,Upper_Secondary,Female,0,Europe
France,4,Upper_Secondary,Female,0,Europe
Gabon,0,Upper_Secondary,Female,0,Africa
The Gambia,0,Upper_Secondary,Female,0,Africa
Georgia,4,Upper_Secondary,Female,0,Asia
Germany,16,Upper_Secondary,Female,0,Europe
Ghana,28,Upper_Secondary,Female,0,Africa
Greece,6,Upper_Secondary,Female,0,Europe
Grenada,7,Upper_Secondary,Female,0,Americas
Guatemala,61,Upper_Secondary,Female,1,Americas
Guinea,76,Upper_Secondary,Female,1,Africa
Guinea0Bissau,0,Upper_Secondary,Female,0,Africa
Guyana,0,Upper_Secondary,Female,0,Americas
Haiti,0,Upper_Secondary,Female,0,Americas
Vatican City,0,Upper_Secondary,Female,0,Europe
Honduras,54,Upper_Secondary,Female,1,Americas
Hungary,12,Upper_Secondary,Female,0,Europe
Iceland,11,Upper_Secondary,Female,0,Europe
India,48,Upper_Secondary,Female,0,Asia
Indonesia,22,Upper_Secondary,Female,0,Asia
Iran,27,Upper_Secondary,Female,0,Asia
Iraq,0,Upper_Secondary,Female,0,Asia
Republic of Ireland,1,Upper_Secondary,Female,0,Europe
Israel,0,Upper_Secondary,Female,0,Asia
Italy,5,Upper_Secondary,Female,0,Europe
Jamaica,22,Upper_Secondary,Female,0,Americas
Japan,0,Upper_Secondary,Female,0,Asia
Jordan,43,Upper_Secondary,Female,0,Asia
Kazakhstan,0,Upper_Secondary,Female,0,Asia
Kenya,0,Upper_Secondary,Female,0,Africa
Kiribati,0,Upper_Secondary,Female,0,Oceania
Kuwait,17,Upper_Secondary,Female,0,Asia
Kyrgyzstan,26,Upper_Secondary,Female,0,Asia
Laos,46,Upper_Secondary,Female,0,Asia
Latvia,4,Upper_Secondary,Female,0,Europe
Lebanon,0,Upper_Secondary,Female,0,Asia
Lesotho,29,Upper_Secondary,Female,0,Africa
Liberia,31,Upper_Secondary,Female,0,Africa
Libya,0,Upper_Secondary,Female,0,Africa
Liechtenstein,22,Upper_Secondary,Female,0,Europe
Lithuania,2,Upper_Secondary,Female,0,Europe
Luxembourg,17,Upper_Secondary,Female,0,Europe
Madagascar,64,Upper_Secondary,Female,1,Africa
Malawi,76,Upper_Secondary,Female,1,Africa
Malaysia,32,Upper_Secondary,Female,0,Asia
Maldives,0,Upper_Secondary,Female,0,Asia
Mali,79,Upper_Secondary,Female,1,Africa
Malta,7,Upper_Secondary,Female,0,Europe
Marshall Islands,41,Upper_Secondary,Female,0,Oceania
Mauritania,59,Upper_Secondary,Female,1,Africa
Mauritius,17,Upper_Secondary,Female,0,Africa
Mexico,24,Upper_Secondary,Female,0,Americas
Federated States of Micronesia,0,Upper_Secondary,Female,0,Oceania
Monaco,0,Upper_Secondary,Female,0,Europe
Mongolia,20,Upper_Secondary,Female,0,Asia
Montenegro,10,Upper_Secondary,Female,0,Europe
Montserrat,0,Upper_Secondary,Female,0,Americas
Morocco,30,Upper_Secondary,Female,0,Africa
Mozambique,73,Upper_Secondary,Female,1,Africa
Myanmar,38,Upper_Secondary,Female,0,Asia
Namibia,0,Upper_Secondary,Female,0,Africa
Nauru,60,Upper_Secondary,Female,1,Oceania
Nepal,13,Upper_Secondary,Female,0,Asia
Netherlands,1,Upper_Secondary,Female,0,Europe
New Zealand,1,Upper_Secondary,Female,0,Oceania
Nicaragua,0,Upper_Secondary,Female,0,Americas
Niger,89,Upper_Secondary,Female,1,Africa
Nigeria,0,Upper_Secondary,Female,0,Africa
Niue,0,Upper_Secondary,Female,0,Oceania
North Macedonia,0,Upper_Secondary,Female,0,Europe
Norway,7,Upper_Secondary,Female,0,Europe
Oman,17,Upper_Secondary,Female,0,Asia
Pakistan,0,Upper_Secondary,Female,0,Asia
Palau,0,Upper_Secondary,Female,0,Oceania
Panama,31,Upper_Secondary,Female,0,Americas
Papua New Guinea,51,Upper_Secondary,Female,1,Oceania
Paraguay,30,Upper_Secondary,Female,0,Americas
Peru,21,Upper_Secondary,Female,0,Americas
Philippines,17,Upper_Secondary,Female,0,Asia
Poland,4,Upper_Secondary,Female,0,Europe
Portugal,4,Upper_Secondary,Female,0,Europe
Qatar,0,Upper_Secondary,Female,0,Asia
South Korea,4,Upper_Secondary,Female,0,Asia
Moldova,35,Upper_Secondary,Female,0,Europe
Romania,19,Upper_Secondary,Female,0,Europe
Russia,3,Upper_Secondary,Female,0,Europe
Rwanda,49,Upper_Secondary,Female,0,Africa
Saint Kitts and Nevis,5,Upper_Secondary,Female,0,Americas
Saint Lucia,21,Upper_Secondary,Female,0,Americas
Saint Vincent and the Grenadines,14,Upper_Secondary,Female,0,Americas
Samoa,5,Upper_Secondary,Female,0,Oceania
San Marino,57,Upper_Secondary,Female,1,Europe
Saudi Arabia,9,Upper_Secondary,Female,0,Asia
Senegal,0,Upper_Secondary,Female,0,Africa
Serbia,11,Upper_Secondary,Female,0,Europe
Seychelles,12,Upper_Secondary,Female,0,Africa
Sierra Leone,67,Upper_Secondary,Female,1,Africa
Singapore,0,Upper_Secondary,Female,0,Asia
Slovakia,11,Upper_Secondary,Female,0,Europe
Slovenia,1,Upper_Secondary,Female,0,Europe
Solomon Islands,0,Upper_Secondary,Female,0,Oceania
Somalia,0,Upper_Secondary,Female,0,Africa
South Africa,20,Upper_Secondary,Female,0,Africa
South Sudan,72,Upper_Secondary,Female,1,Africa
Spain,1,Upper_Secondary,Female,0,Europe
Sri Lanka,13,Upper_Secondary,Female,0,Asia
Palestinian National Authority,18,Upper_Secondary,Female,0,Asia
Sudan,50,Upper_Secondary,Female,0,Africa
Suriname,34,Upper_Secondary,Female,0,Americas
Sweden,3,Upper_Secondary,Female,0,Europe
Switzerland,20,Upper_Secondary,Female,0,Europe
Syria,66,Upper_Secondary,Female,1,Asia
Tajikistan,0,Upper_Secondary,Female,0,Asia
Thailand,21,Upper_Secondary,Female,0,Asia
East Timor,22,Upper_Secondary,Female,0,Asia
Togo,66,Upper_Secondary,Female,1,Africa
Tokelau,30,Upper_Secondary,Female,0,Oceania
Tonga,33,Upper_Secondary,Female,0,Oceania
Trinidad and Tobago,0,Upper_Secondary,Female,0,Americas
Tunisia,0,Upper_Secondary,Female,0,Africa
Turkey,17,Upper_Secondary,Female,0,Asia
Turkmenistan,0,Upper_Secondary,Female,0,Asia
Turks and Caicos Islands,35,Upper_Secondary,Female,0,Americas
Tuvalu,39,Upper_Secondary,Female,0,Oceania
Uganda,0,Upper_Secondary,Female,0,Africa
Ukraine,4,Upper_Secondary,Female,0,Europe
United Arab Emirates,2,Upper_Secondary,Female,0,Asia
United Kingdom,4,Upper_Secondary,Female,0,Europe
Tanzania,88,Upper_Secondary,Female,1,Africa
United States,3,Upper_Secondary,Female,0,Americas
Uruguay,9,Upper_Secondary,Female,0,Americas
Uzbekistan,15,Upper_Secondary,Female,0,Asia
Vanuatu,46,Upper_Secondary,Female,0,Oceania
Venezuela,19,Upper_Secondary,Female,0,Americas
Vietnam,0,Upper_Secondary,Female,0,Asia
Yemen,68,Upper_Secondary,Female,1,Asia
Zambia,0,Upper_Secondary,Female,0,Africa
Zimbabwe,50,Upper_Secondary,Female,0,Africa
