Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Afghanistan,0,Preprimary,Male,0,Asia
Albania,4,Preprimary,Male,0,Europe
Algeria,0,Preprimary,Male,0,Africa
Andorra,0,Preprimary,Male,0,Europe
Angola,31,Preprimary,Male,0,Africa
Anguilla,14,Preprimary,Male,0,Americas
Antigua and Barbuda,14,Preprimary,Male,0,Americas
Argentina,2,Preprimary,Male,0,Americas
Armenia,52,Preprimary,Male,1,Asia
Australia,13,Preprimary,Male,0,Oceania
Austria,0,Preprimary,Male,0,Europe
Azerbaijan,32,Preprimary,Male,0,Asia
The Bahamas,0,Preprimary,Male,0,Americas
Bahrain,31,Preprimary,Male,0,Asia
Bangladesh,0,Preprimary,Male,0,Asia
Barbados,6,Preprimary,Male,0,Americas
Belarus,0,Preprimary,Male,0,Europe
Belgium,3,Preprimary,Male,0,Europe
Belize,18,Preprimary,Male,0,Americas
Benin,15,Preprimary,Male,0,Africa
Bhutan,58,Preprimary,Male,1,Asia
Bolivia,9,Preprimary,Male,0,Americas
Bosnia and Herzegovina,72,Preprimary,Male,1,Europe
Botswana,79,Preprimary,Male,1,Africa
Brazil,0,Preprimary,Male,0,Americas
British Virgin Islands,9,Preprimary,Male,0,Americas
Brunei,17,Preprimary,Male,0,Asia
Bulgaria,19,Preprimary,Male,0,Europe
Burkina Faso,81,Preprimary,Male,1,Africa
Burundi,52,Preprimary,Male,1,Africa
Cape Verde,19,Preprimary,Male,0,Africa
Cambodia,48,Preprimary,Male,0,Asia
Cameroon,56,Preprimary,Male,1,Africa
Canada,0,Preprimary,Male,0,Americas
Central African Republic,0,Preprimary,Male,0,Africa
Chad,85,Preprimary,Male,1,Africa
Chile,8,Preprimary,Male,0,Americas
China,0,Preprimary,Male,0,Asia
Colombia,3,Preprimary,Male,0,Americas
Comoros,71,Preprimary,Male,1,Africa
Republic of the Congo,71,Preprimary,Male,1,Africa
Cook Islands,3,Preprimary,Male,0,Oceania
Costa Rica,4,Preprimary,Male,0,Americas
Ivory Coast,78,Preprimary,Male,1,Africa
Croatia,5,Preprimary,Male,0,Europe
Cuba,2,Preprimary,Male,0,Americas
Cyprus,1,Preprimary,Male,0,Asia
Czech Republic,10,Preprimary,Male,0,Europe
North Korea,0,Preprimary,Male,0,Asia
Democratic Republic of the Congo,0,Preprimary,Male,0,Africa
Denmark,2,Preprimary,Male,0,Europe
Djibouti,85,Preprimary,Male,1,Africa
Dominica,21,Preprimary,Male,0,Americas
Dominican Republic,7,Preprimary,Male,0,Americas
Ecuador,8,Preprimary,Male,0,Americas
Egypt,63,Preprimary,Male,1,Africa
El Salvador,18,Preprimary,Male,0,Americas
Equatorial Guinea,57,Preprimary,Male,1,Africa
Eritrea,73,Preprimary,Male,1,Africa
Estonia,12,Preprimary,Male,0,Europe
Eswatini,0,Preprimary,Male,0,Africa
Ethiopia,62,Preprimary,Male,1,Africa
Fiji,0,Preprimary,Male,0,Oceania
Finland,2,Preprimary,Male,0,Europe
France,0,Preprimary,Male,0,Europe
Gabon,0,Preprimary,Male,0,Africa
The Gambia,42,Preprimary,Male,0,Africa
Georgia,0,Preprimary,Male,0,Asia
Germany,1,Preprimary,Male,0,Europe
Ghana,14,Preprimary,Male,0,Africa
Greece,6,Preprimary,Male,0,Europe
Grenada,4,Preprimary,Male,0,Americas
Guatemala,16,Preprimary,Male,0,Americas
Guinea,57,Preprimary,Male,1,Africa
Guinea0Bissau,0,Preprimary,Male,0,Africa
Guyana,0,Preprimary,Male,0,Americas
Haiti,0,Preprimary,Male,0,Americas
Vatican City,0,Preprimary,Male,0,Europe
Honduras,24,Preprimary,Male,0,Americas
Hungary,12,Preprimary,Male,0,Europe
Iceland,4,Preprimary,Male,0,Europe
India,0,Preprimary,Male,0,Asia
Indonesia,8,Preprimary,Male,0,Asia
Iran,50,Preprimary,Male,0,Asia
Iraq,0,Preprimary,Male,0,Asia
Republic of Ireland,2,Preprimary,Male,0,Europe
Israel,1,Preprimary,Male,0,Asia
Italy,6,Preprimary,Male,0,Europe
Jamaica,8,Preprimary,Male,0,Americas
Japan,0,Preprimary,Male,0,Asia
Jordan,55,Preprimary,Male,1,Asia
Kazakhstan,22,Preprimary,Male,0,Asia
Kenya,0,Preprimary,Male,0,Africa
Kiribati,0,Preprimary,Male,0,Oceania
Kuwait,21,Preprimary,Male,0,Asia
Kyrgyzstan,11,Preprimary,Male,0,Asia
Laos,31,Preprimary,Male,0,Asia
Latvia,2,Preprimary,Male,0,Europe
Lebanon,0,Preprimary,Male,0,Asia
Lesotho,58,Preprimary,Male,1,Africa
Liberia,21,Preprimary,Male,0,Africa
Libya,0,Preprimary,Male,0,Africa
Liechtenstein,1,Preprimary,Male,0,Europe
Lithuania,3,Preprimary,Male,0,Europe
Luxembourg,1,Preprimary,Male,0,Europe
Madagascar,43,Preprimary,Male,0,Africa
Malawi,0,Preprimary,Male,0,Africa
Malaysia,1,Preprimary,Male,0,Asia
Maldives,8,Preprimary,Male,0,Asia
Mali,53,Preprimary,Male,1,Africa
Malta,0,Preprimary,Male,0,Europe
Marshall Islands,32,Preprimary,Male,0,Oceania
Mauritania,0,Preprimary,Male,0,Africa
Mauritius,9,Preprimary,Male,0,Africa
Mexico,2,Preprimary,Male,0,Americas
Federated States of Micronesia,30,Preprimary,Male,0,Oceania
Monaco,0,Preprimary,Male,0,Europe
Mongolia,3,Preprimary,Male,0,Asia
Montenegro,23,Preprimary,Male,0,Europe
Montserrat,19,Preprimary,Male,0,Americas
Morocco,31,Preprimary,Male,0,Africa
Mozambique,0,Preprimary,Male,0,Africa
Myanmar,88,Preprimary,Male,1,Asia
Namibia,33,Preprimary,Male,0,Africa
Nauru,11,Preprimary,Male,0,Oceania
Nepal,9,Preprimary,Male,0,Asia
Netherlands,1,Preprimary,Male,0,Europe
New Zealand,6,Preprimary,Male,0,Oceania
Nicaragua,0,Preprimary,Male,0,Americas
Niger,76,Preprimary,Male,1,Africa
Nigeria,0,Preprimary,Male,0,Africa
Niue,13,Preprimary,Male,0,Oceania
North Macedonia,51,Preprimary,Male,1,Europe
Norway,3,Preprimary,Male,0,Europe
Oman,16,Preprimary,Male,0,Asia
Pakistan,0,Preprimary,Male,0,Asia
Palau,0,Preprimary,Male,0,Oceania
Panama,25,Preprimary,Male,0,Americas
Papua New Guinea,28,Preprimary,Male,0,Oceania
Paraguay,31,Preprimary,Male,0,Americas
Peru,1,Preprimary,Male,0,Americas
Philippines,14,Preprimary,Male,0,Asia
Poland,4,Preprimary,Male,0,Europe
Portugal,5,Preprimary,Male,0,Europe
Qatar,10,Preprimary,Male,0,Asia
South Korea,1,Preprimary,Male,0,Asia
Moldova,5,Preprimary,Male,0,Europe
Romania,18,Preprimary,Male,0,Europe
Russia,9,Preprimary,Male,0,Europe
Rwanda,48,Preprimary,Male,0,Africa
Saint Kitts and Nevis,0,Preprimary,Male,0,Americas
Saint Lucia,5,Preprimary,Male,0,Americas
Saint Vincent and the Grenadines,9,Preprimary,Male,0,Americas
Samoa,65,Preprimary,Male,1,Oceania
San Marino,12,Preprimary,Male,0,Europe
Saudi Arabia,51,Preprimary,Male,1,Asia
Senegal,85,Preprimary,Male,1,Africa
Serbia,9,Preprimary,Male,0,Europe
Seychelles,9,Preprimary,Male,0,Africa
Sierra Leone,58,Preprimary,Male,1,Africa
Singapore,0,Preprimary,Male,0,Asia
Slovakia,15,Preprimary,Male,0,Europe
Slovenia,5,Preprimary,Male,0,Europe
Solomon Islands,36,Preprimary,Male,0,Oceania
Somalia,0,Preprimary,Male,0,Africa
South Africa,28,Preprimary,Male,0,Africa
South Sudan,78,Preprimary,Male,1,Africa
Spain,5,Preprimary,Male,0,Europe
Sri Lanka,0,Preprimary,Male,0,Asia
Palestinian National Authority,35,Preprimary,Male,0,Asia
Sudan,60,Preprimary,Male,1,Africa
Suriname,12,Preprimary,Male,0,Americas
Sweden,0,Preprimary,Male,0,Europe
Switzerland,1,Preprimary,Male,0,Europe
Syria,60,Preprimary,Male,1,Asia
Tajikistan,87,Preprimary,Male,1,Asia
Thailand,1,Preprimary,Male,0,Asia
East Timor,51,Preprimary,Male,1,Asia
Togo,1,Preprimary,Male,0,Africa
Tokelau,20,Preprimary,Male,0,Oceania
Tonga,0,Preprimary,Male,0,Oceania
Trinidad and Tobago,0,Preprimary,Male,0,Americas
Tunisia,0,Preprimary,Male,0,Africa
Turkey,23,Preprimary,Male,0,Asia
Turkmenistan,0,Preprimary,Male,0,Asia
Turks and Caicos Islands,19,Preprimary,Male,0,Americas
Tuvalu,13,Preprimary,Male,0,Oceania
Uganda,0,Preprimary,Male,0,Africa
Ukraine,0,Preprimary,Male,0,Europe
United Arab Emirates,0,Preprimary,Male,0,Asia
United Kingdom,3,Preprimary,Male,0,Europe
Tanzania,45,Preprimary,Male,0,Africa
United States,12,Preprimary,Male,0,Americas
Uruguay,2,Preprimary,Male,0,Americas
Uzbekistan,53,Preprimary,Male,1,Asia
Vanuatu,38,Preprimary,Male,0,Oceania
Venezuela,14,Preprimary,Male,0,Americas
Vietnam,0,Preprimary,Male,0,Asia
Yemen,96,Preprimary,Male,1,Asia
Zambia,0,Preprimary,Male,0,Africa
Zimbabwe,60,Preprimary,Male,1,Africa
