Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Saint Vincent and the Grenadines,0,Primary,Male,0,Americas
Samoa,0,Primary,Male,0,Oceania
San Marino,0,Primary,Male,0,Europe
Saudi Arabia,1,Primary,Male,0,Asia
Senegal,30,Primary,Male,0,Africa
Serbia,2,Primary,Male,0,Europe
Seychelles,0,Primary,Male,0,Africa
Sierra Leone,2,Primary,Male,0,Africa
Singapore,0,Primary,Male,0,Asia
Slovakia,5,Primary,Male,0,Europe
Slovenia,1,Primary,Male,0,Europe
Solomon Islands,9,Primary,Male,0,Oceania
Somalia,0,Primary,Male,0,Africa
South Africa,12,Primary,Male,0,Africa
South Sudan,58,Primary,Male,1,Africa
Spain,3,Primary,Male,0,Europe
Sri Lanka,2,Primary,Male,0,Asia
Palestinian National Authority,3,Primary,Male,0,Asia
Sudan,31,Primary,Male,0,Africa
Suriname,14,Primary,Male,0,Americas
Sweden,0,Primary,Male,0,Europe
Switzerland,0,Primary,Male,0,Europe
Syria,27,Primary,Male,0,Asia
Tajikistan,1,Primary,Male,0,Asia
Thailand,0,Primary,Male,0,Asia
East Timor,7,Primary,Male,0,Asia
Togo,2,Primary,Male,0,Africa
Tokelau,0,Primary,Male,0,Oceania
Tonga,0,Primary,Male,0,Oceania
Trinidad and Tobago,0,Primary,Male,0,Americas
Tunisia,0,Primary,Male,0,Africa
Turkey,5,Primary,Male,0,Asia
Turkmenistan,0,Primary,Male,0,Asia
Turks and Caicos Islands,0,Primary,Male,0,Americas
Tuvalu,13,Primary,Male,0,Oceania
Uganda,6,Primary,Male,0,Africa
Ukraine,9,Primary,Male,0,Europe
United Arab Emirates,8,Primary,Male,0,Asia
United Kingdom,1,Primary,Male,0,Europe
Tanzania,15,Primary,Male,0,Africa
United States,1,Primary,Male,0,Americas
Uruguay,3,Primary,Male,0,Americas
Uzbekistan,0,Primary,Male,0,Asia
Vanuatu,8,Primary,Male,0,Oceania
Venezuela,10,Primary,Male,0,Americas
Vietnam,0,Primary,Male,0,Asia
Yemen,10,Primary,Male,0,Asia
Zambia,17,Primary,Male,0,Africa
Zimbabwe,0,Primary,Male,0,Africa
